generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
0,349,1.2795794678211802e-05,1.939079218620806e-05,1.568041029468039e-05,1.2727749984971788e-06
1,343,1.2970300103208905e-05,1.939079218620806e-05,1.5779115363183273e-05,1.3348614367153134e-06
2,332,1.2970300103208905e-05,1.939079218620806e-05,1.580546212394954e-05,1.2975265766041654e-06
3,311,1.2970300103208905e-05,1.939079218620806e-05,1.5827930971219975e-05,1.231129460000038e-06
4,341,1.2970300103208905e-05,1.939079218620806e-05,1.5940934098453995e-05,1.2904548719174884e-06
5,343,1.2970300103208905e-05,1.939079218620806e-05,1.6112615155243416e-05,1.3682766256456372e-06
6,339,1.310741540456087e-05,1.939079218620806e-05,1.6248306164305985e-05,1.3820634145149036e-06
7,345,1.310741540456087e-05,1.939079218620806e-05,1.6280968662464893e-05,1.349960680047653e-06
8,361,1.310741540456087e-05,1.939079218620806e-05,1.6340659153167066e-05,1.4780195630277325e-06
9,337,1.310741540456087e-05,1.939079218620806e-05,1.6440967994715033e-05,1.4526995777475133e-06
